longitude	latitude	speed
-122.673273	45.562715	5.080308030803081
-122.645827	45.559085	5.364788262754251
-122.645277	45.559083	8.6
-122.644835	45.559085	7
-122.64439	45.559077	6.8
-122.64399	45.559077	6.2
-122.643617	45.55908	5.8
-122.643202	45.559075	6.4
-122.642867	45.559078	5.2
-122.694113	45.55925	14.4
-122.694473	45.559818	13.6
-122.694733	45.560385	13
-122.695008	45.560947	13
-122.695278	45.561473	12.2
-122.695587	45.561937	11.2
-122.695735	45.562352	9.4
-122.695673	45.562725	7
-122.695383	45.562763	4.5
-122.695038	45.562765	5.4
-122.694542	45.56277	7.8
-122.693972	45.562768	8.8
-122.69337	45.562768	7.4
-122.692793	45.562785	9
-122.692438	45.56279	2.2666666666666666
-122.692133	45.562767	3.6
-122.691568	45.562762	8.4
-122.691005	45.562757	8.8
-122.690492	45.562765	8
-122.689948	45.56274	8.4
-122.689415	45.562742	8.2
-122.688857	45.562738	8.6
-122.688295	45.562732	8.6
-122.687708	45.562733	9.2
-122.693168	45.556793	8.849315068493151
-122.68734	45.562745	8.774834437086092
-122.693047	45.556493	8.717948717948717
-122.693038	45.556473	0.4
-122.706142	45.559373	3.404301075268817
-122.705623	45.559158	8.8
-122.704958	45.558802	12.8
-122.70427	45.558467	13
-122.70367	45.558147	11.8
-122.703163	45.557885	9.8
-122.70284	45.55774	6.4
-122.701957	45.55733	0.2417910447761194
-122.701673	45.557162	5.6
-122.701283	45.556923	8
-122.700717	45.556648	10.6
-122.699985	45.556458	12
-122.699138	45.556333	13.2
-122.698218	45.556222	14.4
-122.697217	45.556113	15.6
-122.696135	45.556072	16.6
-122.695027	45.556072	17
-122.693932	45.556073	16.6
-122.692837	45.556067	16.8
-122.691778	45.55606	16.2
-122.690893	45.55609	13.4
-122.690283	45.556128	9.2
-122.690285	45.556392	6.8
-122.690853	45.55633	9.4
-122.691598	45.556242	11.8
-122.692332	45.556242	11.2
-122.692903	45.556298	9.2
-122.693038	45.556473	3
-122.687258	45.562742	8.335365853658537
-122.686785	45.56272	6.6
-122.686143	45.562707	9.8
-122.667085	45.562732	3.762148337595908
-122.666468	45.562733	9.6
-122.665818	45.56274	9.8
-122.665107	45.562743	11
-122.664387	45.562745	11
-122.663715	45.56275	10.4
-122.663093	45.562748	9.6
-122.662495	45.562765	9.2
-122.661973	45.562787	8
-122.661555	45.562773	6.6
-122.661447	45.562615	4
-122.66145	45.562582	0.07272727272727272
-122.661452	45.562468	2.2
-122.66141	45.562153	6.8
-122.661418	45.561785	8
-122.66145	45.561407	8.2
-122.661475	45.560898	11
-122.661467	45.560377	11.4
-122.661483	45.559907	10.4
-122.66146	45.559498	1.84
-122.661498	45.559317	4
-122.66142	45.559158	3.8
-122.661327	45.559152	1
-122.66128	45.559153	0.8
-122.661152	45.559158	2
-122.661072	45.559157	0.13333333333333333
-122.660678	45.559147	6
-122.667722	45.56273	3.769230769230769
-122.668295	45.562728	8.6
-122.668547	45.562728	3.4
-122.668683	45.56273	0.34285714285714286
-122.685553	45.5627	3.880952380952381
-122.684418	45.562693	8.8
-122.68381	45.562687	9.2
-122.683163	45.562677	10
-122.682603	45.56269	8.8
-122.681565	45.562708	0.5782312925170068
-122.681207	45.56269	4.8
-122.680578	45.562672	9.4
-122.679888	45.562675	10.6
-122.67922	45.56268	13
-122.678577	45.562688	8.333333333333334
