longitude	latitude	speed
-122.769153	45.4397	1006.7037037037037
-122.836385	45.506415	13.049482163406214
-122.837403	45.506685	16.8
-122.838417	45.506952	16.6
-122.83935	45.507195	15.6
-122.840072	45.507388	12.4
-122.840515	45.507472	7.4
-122.840693	45.507327	4.4
-122.840733	45.507223	0.65
-122.835405	45.506137	8.363636363636363
-122.840818	45.506997	8.033333333333333
-122.747612	45.422553	13.9501953125
-122.746772	45.42172	22.4
-122.745963	45.420937	21.2
-122.745252	45.420137	20.8
-122.744705	45.419227	21.8
-122.744448	45.418235	22.2
-122.744387	45.417193	23.2
-122.744275	45.416167	22.6
-122.840988	45.506622	14.18984962406015
-122.834427	45.505875	8.628571428571428
-122.833448	45.505615	16.2
-122.832468	45.505348	16.2
-122.800688	45.476463	11.324380165289256
-122.801005	45.47646	5
-122.801558	45.476452	8.8
-122.802368	45.47644	12.6
-122.803172	45.476432	12.4
-122.804008	45.476423	13
-122.804923	45.476417	14.2
-122.805853	45.47641	14.2
-122.80666	45.476413	12.6
-122.807565	45.47642	14
-122.808552	45.476438	15.2
-122.809548	45.476447	15.4
-122.810442	45.476442	13.8
-122.811238	45.476447	12.2
-122.812113	45.476443	13.5
-122.828173	45.50419	10.772151898734178
-122.829235	45.504488	17.2
-122.830392	45.504797	19
-122.831482	45.505087	18.4
-122.82658	45.49517	15.244444444444444
-122.800593	45.476463	10.238578680203046
-122.82647	45.494877	10.287917737789202
-122.826325	45.494373	6
-122.744185	45.408228	15.028602860286028
-122.74424	45.407025	26.6
-122.744365	45.405823	26.6
-122.74455	45.404627	26.6
-122.744805	45.403437	26.4
-122.745123	45.402257	26.4
-122.745508	45.401088	26.6
-122.745952	45.399937	26
-122.744187	45.409435	26.45
-122.746412	45.398795	26.42222222222222
-122.747335	45.396488	26.4
-122.747803	45.39533	26.6
-122.748273	45.394172	26.6
-122.748742	45.393013	26.4
-122.749213	45.391855	26.6
-122.749665	45.390695	26.4
-122.750115	45.389537	26.6
-122.750563	45.388382	26.2
-122.746873	45.397647	26.475
-122.744193	45.41064	26.436363636363637
-122.744205	45.41182	26
-122.744217	45.412968	25.4
-122.82625	45.493833	14.792986425339366
-122.826222	45.493143	15.8
-122.82623	45.492328	18
-122.82623	45.491528	17.4
-122.826233	45.490845	14.6
-122.826233	45.490287	11.8
-122.826235	45.489943	6.8
-122.826235	45.489835	1.8
-122.826233	45.489827	0.022222222222222223
-122.826227	45.489652	5
-122.82622	45.489227	10
-122.826222	45.48866	12.8
-122.826228	45.487987	15
-122.826225	45.487318	14.4
-122.826247	45.486692	14
-122.826238	45.48595	16.8
-122.826242	45.485177	16.8
-122.74425	45.415142	15.757294429708223
-122.74423	45.414077	23.6
-122.826415	45.494707	14.688413948256468
-122.826805	45.49565	6.866666666666666
-122.827172	45.496333	15.4
-122.827618	45.497075	17.8
-122.777597	45.443712	12.16508795669824
-122.779003	45.444382	26.2
-122.780415	45.445045	26.6
-122.781768	45.445777	26.4
-122.782783	45.446732	26.4
-122.783385	45.447847	26.4
-122.783872	45.448993	26.2
-122.784325	45.450153	26.6
-122.776178	45.443048	26.425
-122.784607	45.451338	26.42222222222222
-122.784628	45.453747	26.5
-122.784617	45.454955	26.8
-122.784612	45.456157	26.4
-122.784668	45.457345	26.2
-122.784853	45.458523	26.2
